Issue Type,Summary,Description,Epic Name,Epic Link,Priority,Labels
Epic,Gestão e Governança do Projeto,"Épico de gestão. Reúne a configuração do ambiente de trabalho do time, o versionamento do código, a documentação do projeto e a organização das sprints na ferramenta de gestão. Não entrega funcionalidade ao usuário final: existe para dar rastreabilidade e organização ao desenvolvimento.",Gestao e Governanca do Projeto,,High,gestao
Epic,Requisitos do Projeto,"Épico de escopo. Concentra todos os requisitos funcionais (RF) e não funcionais (RNF) acordados para o produto, servindo como referência única de escopo entre cliente e Product Owner. Cada requisito é um item do tipo Requisito e deve ser vinculado, via Issue Link, às user stories que o realizam.",Requisitos do Projeto,,Highest,escopo
Epic,Site Institucional,"Épico de valor. Área pública da solução: apresenta a marca e o projeto ao visitante, oferece o simulador financeiro e dá acesso às páginas de cadastro e login. Público-alvo: visitantes não autenticados.",Site Institucional,,High,valor
Epic,Portal do Cliente,"Épico de valor. Área autenticada da solução, no mesmo domínio e repositório do site institucional. Reúne cadastro, login e a dashboard de acompanhamento da temperatura e umidade do ambiente de maturação dos queijos azuis. Público-alvo: clientes autenticados.",Portal do Cliente,,Highest,valor
Epic,Captação de Dados via IoT,"Épico habilitador. Responsável pela medição automática de temperatura e umidade do ar no ambiente de maturação por meio de Arduino e sensor, e pela disponibilização dessas leituras às demais camadas da solução.",Captacao de Dados via IoT,,Highest,habilitador
Epic,Infraestrutura de Dados,"Épico habilitador. Responsável pela persistência do histórico de leituras: modelagem de dados, criação do banco e scripts de manipulação, hospedados em servidor MySQL em VM Linux.",Infraestrutura de Dados,,Highest,habilitador
Epic,Validação Técnica da Solução,"Épico de qualidade. Garante que a arquitetura implementada corresponde ao desenho proposto e que a solução funciona de ponta a ponta (sensor, banco de dados e dashboard) antes da entrega da sprint.",Validacao Tecnica da Solucao,,High,qualidade
Requisito,[RF01] O site deve apresentar as informações institucionais da marca e da solução.,O site deve apresentar as informações institucionais da marca e da solução.,,Requisitos do Projeto,High,"RF,site-institucional"
Requisito,[RF02] O site deve permitir a navegação entre suas seções por meio de menu.,O site deve permitir a navegação entre suas seções por meio de menu.,,Requisitos do Projeto,High,"RF,site-institucional"
Requisito,[RF03] O site deve calcular e exibir uma estimativa financeira a partir dos valores informados pelo visitante.,O site deve calcular e exibir uma estimativa financeira a partir dos valores informados pelo visitante.,,Requisitos do Projeto,High,"RF,site-institucional"
Requisito,[RF04] O site deve oferecer acesso às páginas de cadastro e login.,O site deve oferecer acesso às páginas de cadastro e login.,,Requisitos do Projeto,High,"RF,site-institucional"
Requisito,[RF05] O sistema deve disponibilizar um formulário de cadastro de cliente.,O sistema deve disponibilizar um formulário de cadastro de cliente.,,Requisitos do Projeto,High,"RF,portal-cliente"
Requisito,[RF06] O sistema deve validar os dados informados no cadastro e sinalizar os campos inválidos.,O sistema deve validar os dados informados no cadastro e sinalizar os campos inválidos.,,Requisitos do Projeto,High,"RF,portal-cliente"
Requisito,[RF07] O sistema deve disponibilizar um formulário de login.,O sistema deve disponibilizar um formulário de login.,,Requisitos do Projeto,High,"RF,portal-cliente"
Requisito,[RF08] O sistema deve direcionar o cliente à dashboard após o login válido.,O sistema deve direcionar o cliente à dashboard após o login válido.,,Requisitos do Projeto,High,"RF,portal-cliente"
Requisito,[RF09] A dashboard deve exibir graficamente as leituras de temperatura e umidade do ambiente de maturação.,A dashboard deve exibir graficamente as leituras de temperatura e umidade do ambiente de maturação.,,Requisitos do Projeto,High,"RF,portal-cliente"
Requisito,[RF10] A dashboard deve permitir a consulta das leituras por intervalo de data e hora.,A dashboard deve permitir a consulta das leituras por intervalo de data e hora.,,Requisitos do Projeto,High,"RF,portal-cliente"
Requisito,[RF11] O sistema deve coletar automaticamente leituras de temperatura e umidade do ar do ambiente de maturação.,O sistema deve coletar automaticamente leituras de temperatura e umidade do ar do ambiente de maturação.,,Requisitos do Projeto,High,"RF,iot"
Requisito,[RF12] O sistema deve registrar a data e a hora de cada leitura coletada.,O sistema deve registrar a data e a hora de cada leitura coletada.,,Requisitos do Projeto,High,"RF,iot"
Requisito,[RF13] O sistema deve disponibilizar as leituras coletadas para exibição ao cliente.,O sistema deve disponibilizar as leituras coletadas para exibição ao cliente.,,Requisitos do Projeto,High,"RF,iot"
Requisito,[RF14] O sistema deve armazenar de forma permanente o histórico das leituras coletadas.,O sistema deve armazenar de forma permanente o histórico das leituras coletadas.,,Requisitos do Projeto,High,"RF,infraestrutura"
Requisito,[RF15] O sistema deve permitir a recuperação das leituras armazenadas por período.,O sistema deve permitir a recuperação das leituras armazenadas por período.,,Requisitos do Projeto,High,"RF,infraestrutura"
Requisito,[RNF01] O site deve se adaptar a telas de desktop e dispositivos móveis.,O site deve se adaptar a telas de desktop e dispositivos móveis.,,Requisitos do Projeto,High,"RNF,site-institucional"
Requisito,[RNF02] O simulador deve indicar ao visitante quando os valores informados forem inválidos.,O simulador deve indicar ao visitante quando os valores informados forem inválidos.,,Requisitos do Projeto,High,"RNF,site-institucional"
Requisito,[RNF03] As telas do portal devem se adaptar a desktop e dispositivos móveis.,As telas do portal devem se adaptar a desktop e dispositivos móveis.,,Requisitos do Projeto,High,"RNF,portal-cliente"
Requisito,[RNF04] Os gráficos devem identificar claramente a grandeza exibida e sua unidade de medida.,Os gráficos devem identificar claramente a grandeza exibida e sua unidade de medida.,,Requisitos do Projeto,High,"RNF,portal-cliente"
Requisito,[RNF05] O sistema deve informar ao cliente quando não houver leituras disponíveis para o período consultado.,O sistema deve informar ao cliente quando não houver leituras disponíveis para o período consultado.,,Requisitos do Projeto,High,"RNF,portal-cliente"
Requisito,[RNF06] As leituras devem ser coletadas em intervalo periódico definido.,As leituras devem ser coletadas em intervalo periódico definido. OBSERVACAO: o valor do intervalo ainda deve ser definido pela equipe com base na literatura de maturação de queijos azuis.,,Requisitos do Projeto,High,"RNF,iot"
Requisito,[RNF07] A temperatura deve ser apresentada em graus Celsius (C) e a umidade em umidade relativa do ar (%UR).,A temperatura deve ser apresentada em graus Celsius (C) e a umidade em umidade relativa do ar (%UR).,,Requisitos do Projeto,High,"RNF,iot"
Requisito,[RNF08] A falha em uma leitura não deve interromper as coletas seguintes.,A falha em uma leitura não deve interromper as coletas seguintes.,,Requisitos do Projeto,High,"RNF,iot"
Requisito,[RNF09] O histórico de leituras não deve ser perdido em caso de reinício da aplicação.,O histórico de leituras não deve ser perdido em caso de reinício da aplicação.,,Requisitos do Projeto,High,"RNF,infraestrutura"
Story,"Como cliente, quero acompanhar o andamento e a documentação do projeto, para ter visibilidade sobre o que está sendo entregue.","User story de acompanhamento. O cliente precisa enxergar o progresso do projeto por meio dos artefatos produzidos pelo time (documentação, backlog priorizado e repositório atualizado).",,Gestao e Governanca do Projeto,Medium,user-story
Story,"Como visitante, quero conhecer a marca e o propósito da solução, para entender o que é oferecido.","Criterios de aceite:
- A pagina inicial apresenta a marca e a proposta da solucao.
- O conteudo institucional esta legivel em desktop e mobile.
Requisitos relacionados: RF01, RNF01.",,Site Institucional,High,user-story
Story,"Como visitante, quero navegar facilmente entre as seções do site, para encontrar a informação que procuro.","Criterios de aceite:
- Existe menu de navegacao acessivel em todas as paginas publicas.
- Todos os itens do menu levam a secao correspondente.
Requisitos relacionados: RF02.",,Site Institucional,High,user-story
Story,"Como visitante, quero simular uma estimativa financeira, para avaliar se a solução compensa para mim.","Criterios de aceite:
- O visitante informa os valores de entrada e recebe o resultado calculado na tela.
- Valores invalidos sao sinalizados ao visitante.
Requisitos relacionados: RF03, RNF02.",,Site Institucional,Medium,user-story
Story,"Como visitante, quero acessar a área de cliente pelo site, para entrar na minha dashboard.","Criterios de aceite:
- Existe chamada visivel de acesso (login/cadastro) a partir do site institucional.
Requisitos relacionados: RF04.",,Site Institucional,Medium,user-story
Story,"Como novo cliente, quero me cadastrar na plataforma, para poder acessar o monitoramento.","Criterios de aceite:
- Formulario de cadastro disponivel.
- Campos obrigatorios e formatos invalidos sao sinalizados ao usuario.
OBSERVACAO: nesta fase as validacoes sao feitas apenas no front-end.
Requisitos relacionados: RF05, RF06.",,Portal do Cliente,High,user-story
Story,"Como cliente cadastrado, quero fazer login, para entrar na minha dashboard.","Criterios de aceite:
- Formulario de login disponivel.
- Apos login valido o cliente e direcionado a dashboard.
Requisitos relacionados: RF07, RF08.",,Portal do Cliente,High,user-story
Story,"Como cliente, quero visualizar graficamente a temperatura e a umidade do ambiente, para acompanhar as condições de maturação dos queijos.","Criterios de aceite:
- Graficos de temperatura e umidade exibidos na dashboard.
- Cada grafico identifica a grandeza e a unidade de medida.
- A dashboard e responsiva.
Requisitos relacionados: RF09, RNF03, RNF04.",,Portal do Cliente,Highest,user-story
